epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5823,0.48397,0.83333,1,0.57825,0.00023338,0.00023338,0.00023338
2,24.3214,0.47652,0.83333,1,0.80786,0.000473858,0.000473858,0.000473858
3,30.4463,0.44772,0.83333,1,0.42786,0.000704434,0.000704434,0.000704434
4,36.2963,0.43569,0.73333,1,0.60864,0.000925108,0.000925108,0.000925108
5,42.466,0.4524,0.81667,1,0.41248,0.00113588,0.00113588,0.00113588
6,49.2258,0.41557,0.43333,1,1.36768,0.00133675,0.00133675,0.00133675
7,55.9211,0.38328,0.88333,1,0.28674,0.00146896,0.00146896,0.00146896
8,62.9398,0.39455,0.16667,1,2.33789,0.00143595,0.00143595,0.00143595
9,68.8646,0.38744,0.91667,1,0.24908,0.00140295,0.00140295,0.00140295
10,75.4431,0.41852,0.83333,1,0.53931,0.00136994,0.00136994,0.00136994
11,82.034,0.31869,0.9,1,0.37378,0.00133693,0.00133693,0.00133693
12,88.4003,0.30592,0.86667,1,0.41559,0.00130393,0.00130393,0.00130393
13,94.7889,0.27949,0.88333,1,0.33765,0.00127092,0.00127092,0.00127092
14,101.531,0.25025,0.95,1,0.11252,0.00123791,0.00123791,0.00123791
15,108.625,0.27404,0.48333,1,1.15869,0.00120491,0.00120491,0.00120491
16,115.368,0.30885,0.93333,1,0.15265,0.0011719,0.0011719,0.0011719
17,121.711,0.24536,0.88333,1,0.35767,0.00113889,0.00113889,0.00113889
18,128.283,0.23,0.98333,1,0.10938,0.00110589,0.00110589,0.00110589
19,134.828,0.21412,0.96667,1,0.09302,0.00107288,0.00107288,0.00107288
20,141.644,0.20735,0.95,1,0.10144,0.00103987,0.00103987,0.00103987
21,147.786,0.15639,0.95,1,0.14764,0.00100687,0.00100687,0.00100687
22,154.744,0.09917,0.88333,1,0.32477,0.000973861,0.000973861,0.000973861
23,160.963,0.1834,0.91667,1,0.14069,0.000940855,0.000940855,0.000940855
24,167.702,0.1199,0.83333,1,0.42261,0.000907848,0.000907848,0.000907848
25,173.963,0.12441,0.65,1,0.94019,0.000874842,0.000874842,0.000874842
26,180.556,0.21605,0.91667,1,0.17255,0.000841835,0.000841835,0.000841835
27,186.887,0.19782,0.88333,1,0.33069,0.000808828,0.000808828,0.000808828
28,193.716,0.13276,0.93333,1,0.172,0.000775822,0.000775822,0.000775822
29,200.356,0.16779,0.98333,1,0.07706,0.000742815,0.000742815,0.000742815
30,206.966,0.21313,0.91667,1,0.24829,0.000709809,0.000709809,0.000709809
31,213.649,0.16731,0.91667,1,0.16028,0.000676802,0.000676802,0.000676802
32,219.709,0.12411,0.83333,1,0.32507,0.000643795,0.000643795,0.000643795
33,226.645,0.15831,0.93333,1,0.12836,0.000610789,0.000610789,0.000610789
34,232.922,0.11005,0.91667,1,0.19458,0.000577782,0.000577782,0.000577782
35,239.469,0.12244,0.96667,1,0.06808,0.000544776,0.000544776,0.000544776
36,246.251,0.09616,0.83333,1,0.47009,0.000511769,0.000511769,0.000511769
37,252.944,0.10503,0.93333,1,0.13087,0.000478762,0.000478762,0.000478762
38,259.302,0.07679,0.96667,1,0.1095,0.000445756,0.000445756,0.000445756
